name,state,location,control,for_profit,religious_controlled,religious_orentation,degree_type,focus,founded_in,closed_merged_in,done,closed_reason,enrollment,historically_black,accreditation
College of William and Mary,Virginia,Williamsburg,Public,0,0,,Doctoral University,,1693,,,,"8,817",,SACS
Yale University,Connecticut,New Haven,Private,0,0,Christian,Doctoral University,,1701,,AJB,,"12,458",,
University of Pennsylvania,Pennsylvania,Philadelphia,Private,0,0,Christian,Baccalaureate College,,1740,,AJB,,"25,007",,
Moravian College,Pennsylvania,Bethlehem(Northampton County),Private,0,0,Moravian,Baccalaureate College,,1742,,AJB,,"2,032",,
Princeton University,New Jersey,Princeton,Private,0,0,Christian,Doctoral University,,1746,,AJB,,"8,010",,MSCHE
Washington and Lee University,Virginia,Lexington,Private,0,0,Christian,Baccalaureate College,,1749,,AJB,,"2,223",,SACS
Columbia University in the City of New York,New York,New York,Private,0,0,Christian,Doctoral University,,1754,,AJB,,"29,732",,
Brown University,Rhodes Island,Providence,Private,0,0,Christian,Doctoral University,,1764,,AJB,,10333,,
Rutgers University,New Jersey,"New Brunswick, Piscataway, Camden, and Newark",Public,0,0,none,Doctoral University,,1766,,,,"65,000",,MSCHE
Dartmouth College,New Hampshire,Hanover,Private,0,0,Christian,Doctoral University,,1769,,AJB,,"6,350",,
College of Charleston,South Carolina,Charleston,Public,0,0,,Masters University,,1770,,,,10783,,SACS
Salem College,North Carolina,Winston-Salem,Private,0,0,Moravian,Baccalaureate College,,1772,,AJB,,841,,
Dickinson College,Pennsylvania,Carlisle (Cumberland County),Private,0,0,Christian,Baccalaureate College,,1773,,AJB,,"2,414",,
Litchfield Law School,Connecticut,Litchfield,Private,0,0,Christian,Specialized Focus,Law,1773,1883,AJB,,,,
Hampden-Sydney College,Virginia,Hampden Sydney,Private,0,0,Christian,Baccalaureate College,,1775,,AJB,,"1,072",,SACS
Transylvania University,Kentucky,,Private,0,0,Christian,Baccalaureate College,,1780,,AJB,,,,
Washington & Jefferson College,Pennsylvania,Washington(Washington County),Private,0,0,Christian,Liberal Arts,,1781,,AJB,,"1,460",,
Washington College,Maryland,Chestertown,Private,0,0,Christian,Baccalaureate College,,1782,,AJB,,"1,480",,
New Brunswick Theological Seminary,New Jersey,New Brunswick,Private,0,1,Reformed Church in America,Seminary,,1784,,AJB,,,,"ATS, MSCHE"
Cokesbury College,Maryland,Abingdon,Private,0,1,Methodist,Baccalaureate College,,1784,1796,AJB,,,,
St. John's College,Maryland,Annapolis,Private,0,0,Christian,Baccalaureate College,,1784,,AJB,,513,,
University of Georgia,Georgia,Athens,Public,0,0,none,Doctoral University,,1785,,,,"30,000",,
Castleton University,Vermont,Castleton,Public,0,0,,Baccalaureate College,,1787,,,,,,
Franklin & Marshall College,Pennsylvania,Lancaster (Lancaster County),Private,0,0,none,Baccalaureate College,,1787,,AJB,,"2,335",,
